0.0938	0.0469	0.8594	-100
0.0469	0.0469	0.9062	-99
0.125	0.0156	0.8594	-98
0.0781	0	0.9219	-97
0.0469	0.0312	0.9219	-96
0.125	0.0156	0.8594	-95
0.0781	0.125	0.7812	-94
0.0781	0.1719	0.75	-93
0.0781	0.2031	0.7188	-92
0.1094	0.1094	0.7812	-91
0.1094	0.0312	0.8594	-90
0.0781	0.0469	0.875	-89
0.0781	0.0781	0.8438	-88
0.1094	0.0781	0.8125	-87
0.1094	0.0156	0.875	-86
0.0781	0.0156	0.9062	-85
0.0469	0	0.9531	-84
0.125	0.0312	0.8438	-83
0.0312	0.0469	0.9219	-82
0.125	0.1406	0.7344	-81
0.1719	0.1406	0.6875	-80
0.125	0.1094	0.7656	-79
0.1406	0.0938	0.7656	-78
0.1406	0.125	0.7344	-77
0.1562	0.1562	0.6875	-76
0.1562	0.1562	0.6875	-75
0.1094	0.125	0.7656	-74
0.0781	0.1719	0.75	-73
0.1406	0.1875	0.6562	-72
0.1094	0.1562	0.7344	-71
0.0469	0.2031	0.7344	-70
0.1094	0.1719	0.7031	-69
0.1094	0.2344	0.6406	-68
0.0469	0.2344	0.7188	-67
0.1875	0.0938	0.7188	-66
0.0781	0.0625	0.8594	-65
0.0625	0.0156	0.9219	-64
0.0781	0.0469	0.875	-63
0.0625	0.0781	0.8438	-62
0.1562	0.0625	0.7812	-61
0.125	0.0469	0.8281	-60
0.0938	0.0156	0.8906	-59
0.0781	0.0156	0.9062	-58
0.0625	0.0938	0.8438	-57
0.05	0.06	0.8906	-56
0.1406	0.0312	0.8281	-55
0.1094	0.0469	0.8438	-54
0.0938	0.0156	0.8906	-53
0.1562	0.125	0.7188	-52
0.2031	0.0469	0.75	-51
0.1406	0.0625	0.7969	-50
0.1875	0.0312	0.7812	-49
0.1406	0.0469	0.8125	-48
0.1562	0.1406	0.7031	-47
0.1406	0.125	0.7344	-46
0.125	0.0781	0.7969	-45
0.125	0.0469	0.8281	-44
0.0938	0.0625	0.8438	-43
0.0625	0.125	0.7969	-42
0.1406	0.0469	0.8125	-41
0.125	0	0.875	-40
0.1094	0	0.8906	-39
0.0469	0.0469	0.9062	-38
0.0625	0.0625	0.875	-37
0.1719	0.1094	0.7031	-36
0.1406	0.0781	0.7812	-35
0.1406	0.0312	0.8281	-34
0.125	0.0938	0.7656	-33
0.125	0.0781	0.7969	-32
0.1562	0.1094	0.7344	-31
0.1719	0.1406	0.6875	-30
0.2344	0.0781	0.6875	-29
0.1094	0.0625	0.8281	-28
0.1719	0.0781	0.75	-27
0.2969	0.0625	0.6406	-26
0.1719	0.0312	0.7969	-25
0.1406	0.0156	0.8438	-24
0.1406	0.0625	0.7969	-23
0.1719	0.0469	0.7812	-22
0.21	0.03	0.7656	-21
0.1719	0	0.8281	-20
0.1875	0.0312	0.7812	-19
0.125	0.0312	0.8438	-18
0.0469	0.0312	0.9219	-17
0.1094	0.0312	0.8594	-16
0.1562	0.0469	0.7969	-15
0.0938	0.0469	0.8594	-14
0.1406	0.0312	0.8281	-13
0.0938	0.0469	0.8594	-12
0.1562	0.125	0.7188	-11
0.1562	0.125	0.7188	-10
0.1094	0.1562	0.7188	-9
0.1406	0.1562	0.6875	-8
0.1406	0.0938	0.7656	-7
0.125	0.0312	0.8438	-6
0.0469	0.0156	0.9375	-5
0.1094	0.0312	0.8594	-4
0.0781	0.0469	0.8594	-3
0.1562	0.0469	0.7812	-2
0.07	0	0.9375	-1
0.125	0	0.875	0
0.2344	0.0312	0.7344	1
0.1875	0.0469	0.7656	2
0.1719	0.0312	0.7969	3
0.0938	0.0625	0.8438	4
0.1406	0.0469	0.8125	5
0.25	0.0625	0.6875	6
0.2031	0.0938	0.7031	7
0.1562	0.0625	0.7656	8
0.1875	0.0469	0.75	9
0.1875	0.1094	0.7031	10
0.1875	0.0469	0.75	11
0.1094	0.1094	0.7656	12
0.2344	0.1094	0.6406	13
0.2031	0.1406	0.6562	14
0.0469	0.3125	0.6406	15
0.25	0.2031	0.5469	16
0.125	0.125	0.75	17
0.1875	0.0625	0.75	18
0.0781	0.1875	0.7188	19
0.0938	0.1719	0.7188	20
0.125	0.1406	0.7344	21
0.1875	0.125	0.6875	22
0.1406	0.125	0.7344	23
0.1562	0.0938	0.7188	24
0.0938	0.0938	0.7969	25
0.1562	0.1406	0.6875	26
0.2344	0.0469	0.7188	27
0.125	0.0312	0.8438	28
0.0781	0	0.9219	29
0.1094	0	0.8906	30
0.125	0.0469	0.8281	31
0.1406	0.0469	0.8125	32
0.1562	0.0625	0.7656	33
0.1406	0.0938	0.7656	34
0.0781	0.0781	0.8438	35
0.2031	0.1094	0.6875	36
0.1562	0.0938	0.75	37
0.1562	0.0469	0.7969	38
0.1562	0.125	0.7188	39
0.1562	0.125	0.7188	40
0.1719	0.1719	0.6562	41
0.1406	0.2188	0.6406	42
0.0938	0.125	0.7656	43
0.0938	0.125	0.75	44
0.0938	0.125	0.75	45
0.1562	0.1406	0.6875	46
0.2188	0.0469	0.7344	47
0.1406	0.0312	0.8281	48
0.2969	0.0625	0.6406	49
0.1719	0.0312	0.7969	50
0.1719	0.0469	0.7812	51
0.2812	0.0312	0.6875	52
0.1562	0.0469	0.7812	53
0.2344	0.0938	0.6719	54
0.1406	0.1094	0.7344	55
0.2188	0.1562	0.625	56
0.2188	0.1562	0.625	57
0.2344	0.0469	0.7031	58
0.1875	0.0938	0.7031	59
0.1406	0.1094	0.7344	60
0.1094	0.1719	0.7188	61
0.2031	0.1094	0.6875	62
0.1406	0.1094	0.75	63
0.1719	0.0312	0.7969	64
0.2031	0.0312	0.7656	65
0.07	0.09	0.8438	66
0.2344	0.0469	0.7188	67
0.2344	0.0312	0.7344	68
0.2031	0.1094	0.6875	69
0.1875	0.1094	0.7031	70
0.2031	0.0938	0.7031	71
0.2969	0.1094	0.5781	72
0.2344	0.1406	0.625	73
0.2188	0.0781	0.7031	74
0.1875	0.0312	0.7812	75
0.1406	0.1094	0.75	76
0.1719	0.0938	0.7344	77
0.1094	0.0469	0.8438	78
0.1719	0.0781	0.75	79
0.2188	0.0469	0.7344	80
0.125	0.1094	0.7656	81
0.2344	0.0781	0.6875	82
0.1406	0.1406	0.7188	83
0.3438	0.1719	0.4844	84
0.3438	0.1719	0.4844	85
0.125	0.1094	0.7656	86
0.25	0.0469	0.6875	87
0.1719	0.0781	0.75	88
0.1875	0.0625	0.75	89
0.2031	0.0781	0.7188	90
0.2031	0.2188	0.5781	91
0.1562	0.1562	0.6875	92
0.1406	0.1875	0.6562	93
0.1562	0.1094	0.7188	94
0.1406	0.0938	0.7656	95
0.2031	0.1406	0.6562	96
0.0469	0.0312	0.8594	97
0.2969	0.15	0.5625	98
0.2969	0.15	0.5625	99
